Whatever happened to Gary Cooper? The strong, silent type.	Tony Soprano	The Sopranos (S01E01)
We invented this shit, and all these other cocksuckers are gettin' rich off it.	Paulie Gualtieri	46 Long (S01E02)
Just when I thought I was out, they pull me back in.	Silvio Dante	46 Long (S01E02)
You're lookin' at 'em, asshole.	Tony Soprano	Denial, Anger, Acceptance (S01E03)
There is no Mafia.	Tony Soprano	College (S01E05)
Did the Cusamano kids ever find $50,000 in Krugerrands and a .45 automatic while they were hunting for Easter eggs?	Meadow Soprano	College (S01E05)
Cunnilingus and psychiatry brought us to this!	Junior Soprano	I Dream of Jeannie Cusamano (S01E13)
Someday soon, you're gonna have families of your own. And if you're lucky, you'll remember the little moments. Like this. That were good.	Tony Soprano	I Dream of Jeannie Cusamano (S01E13)
It's all a big nothing.	Livia Soprano	D-Girl (S02E07)
No.	Dr. Melfi	Employee of the Month (S03E04)
Leave him. Take only the children—what's left of them—and go.	Dr. Krakower	Second Opinion (S03E07)
He was an interior decorator.	Paulie Gualtieri	Pine Barrens (S03E11)
His house looked like shit.	Christopher Moltisanti	Pine Barrens (S03E11)
Quasimodo predicted all this.	Bobby Baccalieri	For All Debts Public and Private (S04E01)
Ginny Sack's getting a 95-pound mole taken off her ass.	Ralph Cifaretto	No Show (S04E02)
She was a beautiful, innocent creature. What did she ever do to you?	Tony Soprano	Whoever Did This (S04E09)
It was a fucking animal!	Ralph Cifaretto	Whoever Did This (S04E09)
I used to fuck your husband.	Irina Peltsin	Whitecaps (S04E13)
The last year I have been dreaming and fantasizing and in love with Furio.	Carmela Soprano	Whitecaps (S04E13)
Your father never had the makings of a varsity athlete.	Junior Soprano	Where's Johnny? (S05E03)
You probably don't even hear it when it happens, right?	Bobby Baccalieri	Soprano Home Movies (S06E13)
'Remember when' is the lowest form of conversation.	Tony Soprano	Remember When (S06E15)
Try to remember the times that were good.	Tony Soprano	Made in America (S06E21)
It's good to be in something from the ground floor.	Tony Soprano	The Sopranos (S01E01)
I came in at the end. The best is over.	Tony Soprano	The Sopranos (S01E01)
Louis Brasi sleeps with the fishes.	Christopher Moltisanti	The Sopranos (S01E01)
Message job through the eye. Mo Green special.	Christopher Moltisanti	Meadowlands (S01E04)
Are you in the Mafia?	Meadow Soprano	College (S01E05)
Some of my money comes from illegal gambling and whatnot.	Tony Soprano	College (S01E05)
I'd rather smother them with a pillow.	Livia Soprano	Down Neck (S01E07)
Where's my arc, Paulie?	Christopher Moltisanti	The Legend of Tennessee Moltisanti (S01E08)
Because they think if you'll suck pussy, you'll suck anything.	Junior Soprano	Boca (S01E09)
Like fuckin' King Midas in reverse here. Everything I touch turns to shit.	Tony Soprano	Isabella (S01E12)
If I had an ounce of self-respect, I would cut your dick off!	Carmela Soprano	Isabella (S01E12)
What kind of person can I be, where his own mother wants him dead?	Tony Soprano	I Dream of Jeannie Cusamano (S01E13)
I didn't burn down your restaurant. I swear on my mother.	Tony Soprano	I Dream of Jeannie Cusamano (S01E13)
How many more people have to die for your personal growth?	Dr. Melfi	Guy Walks Into a Psychiatrist's Office (S02E01)
I got the world by the balls and I can't stop feeling like I'm a fucking loser.	Tony Soprano	The Happy Wanderer (S02E06)
In the end, you die in your own arms.	Livia Soprano	D-Girl (S02E07)
You didn't go to hell. You went to purgatory, my friend.	Paulie Gualtieri	From Where to Eternity (S02E09)
The Emerald Piper, that's our hell. It's an Irish bar where it's St. Patrick's Day every day forever.	Christopher Moltisanti	From Where to Eternity (S02E09)
We're soldiers. Soldiers don't go to hell. It's war.	Tony Soprano	From Where to Eternity (S02E09)
It's all a series of distractions 'til you die.	Tony Soprano	House Arrest (S02E11)
You were like a brother to me. To all of us.	Tony Soprano	Funhouse (S02E13)
Not in the face, okay? You give me that?	Big Pussy Bonpensiero	Funhouse (S02E13)
Now, as that card burns, so may your soul burn in hell if you betray your friends in the family.	Paulie Gualtieri	Fortunate Son (S03E03)
'Cause once you enter this family, there's no getting out.	Paulie Gualtieri	Fortunate Son (S03E03)
This family comes before everything else.	Paulie Gualtieri	Fortunate Son (S03E03)
All this from a slice of cappicola?	Tony Soprano	Fortunate Son (S03E03)
One thing you can never say: that you haven't been told.	Dr. Krakower	Second Opinion (S03E07)
I won't take blood money.	Dr. Krakower	Second Opinion (S03E07)
16 Czechoslovakians!	Paulie Gualtieri	Pine Barrens (S03E11)
We're not lost. Stop getting cunty.	Paulie Gualtieri	Pine Barrens (S03E11)
Captain or no captain, right now we're just two assholes lost in the woods.	Christopher Moltisanti	Pine Barrens (S03E11)
Not bad. Mix it with the relish.	Paulie Gualtieri	Pine Barrens (S03E11)
He's got that putrid, rotten, fucking Soprano gene.	Tony Soprano	Army of One (S03E13)
Nostradamus. Quasimodo's the Hunchback of Notre Dame.	Tony Soprano	For All Debts Public and Private (S04E01)
A don doesn't wear shorts.	Carmine Lupertazzi	For All Debts Public and Private (S04E01)
There's two endings for a guy like me. High-profile guy. Dead, or in the can.	Tony Soprano	For All Debts Public and Private (S04E01)
Where the fuck is our self-esteem? That shit doesn't come from Columbus, or The Godfather, or Chef fucking Boyardee.	Silvio Dante	Christopher (S04E03)
You're my nephew, Christopher, and I love you. That's the only reason you're alive right now.	Tony Soprano	The Strong, Silent Type (S04E10)
I'm a fat fucking crook from New Jersey.	Tony Soprano	Calling All Cars (S04E11)
All this fucking self-knowledge, what the fuck has it gotten me?	Tony Soprano	Calling All Cars (S04E11)
What about all the other pigs you had your dick in over the years?	Carmela Soprano	Whitecaps (S04E13)
I want you to leave this house, Tony.	Carmela Soprano	Whitecaps (S04E13)
I'll make your life a misery.	Tony Soprano	Whitecaps (S04E13)
There's two Tony Sopranos. You've never seen the other one. That's the one I wanna show to you.	Tony Soprano	Two Tonys (S05E01)
I wonder where Harpo's eating his Sunday dinner.	Tony Soprano	Cold Cuts (S05E10)
My estimation of John Sacrimoni as a man just fucking plummeted.	Phil Leotardo	Mr. & Mrs. John Sacrimoni Request... (S06E05)
Every day is a gift. It's just, does it have to be a pair of socks?	Tony Soprano	The Ride (S06E09)
Say what you will about Richie Aprile, but when he found out his son was gay, he did the right thing. He disowned him.	Tony Soprano	Cold Stones (S06E11)
Fuck the Parker Brothers. Just play the game.	Tony Soprano	Soprano Home Movies (S06E13)
You Sopranos, you go too far.	Bobby Baccalieri	Soprano Home Movies (S06E13)
I haven't been able to tell anybody this, but I'm fucking relieved.	Tony Soprano	Kennedy and Heidi (S06E18)
I get it! I get it!	Tony Soprano	Kennedy and Heidi (S06E18)
I wanted manicott'. I compromised. I ate grilled cheese off the radiator instead.	Phil Leotardo	The Second Coming (S06E19)
Plain and simple, we decapitate and we do business with whatever's left.	Phil Leotardo	The Blue Comet (S06E20)
I went ahead and ordered some for the table.	Tony Soprano	Made in America (S06E21)
Well, that's nice.	Junior Soprano	Made in America (S06E21)
Damn. We're gonna win this thing.	Agent Harris	Made in America (S06E21)
Waste management consultant.	Tony Soprano	The Sopranos (S01E01)
I find I have to be the sad clown. Laughing on the outside, crying on the inside.	Tony Soprano	The Sopranos (S01E01)
Since the ducks left, I guess.	Tony Soprano	The Sopranos (S01E01)
Fuckin' Italian people. How did we miss out on this?	Paulie Gualtieri	46 Long (S01E02)
And the Romans, where are they now?	Ariel	Denial, Anger, Acceptance (S01E03)
Make like a mohel, huh? Finish his bris.	Tony Soprano	Denial, Anger, Acceptance (S01E03)
Do you know any other garbage men who live in a house like this?	Meadow Soprano	Meadowlands (S01E04)
I wish the Lord would take me now.	Livia Soprano	Meadowlands (S01E04)
I'm in the waste management business.	Tony Soprano	College (S01E05)
Of all the finuk priests in the world, why did I have to get the one who's straight?	Carmela Soprano	College (S01E05)
It's a stereotype, and it's offensive.	Tony Soprano	College (S01E05)
I'm in love with you.	Tony Soprano	Pax Soprana (S01E06)
For all the conversation I get around here, I might as well be a fuckin' dildo!	Carmela Soprano	Pax Soprana (S01E06)
I feel like I'm just someone you've chosen to procreate with.	Carmela Soprano	Pax Soprana (S01E06)
This psychiatry shit -- apparently, what you're feelin' is not what you're feelin'.	Tony Soprano	Pax Soprana (S01E06)
You've made me all of the things you feel are missing in your wife and in your mother.	Dr. Melfi	Pax Soprana (S01E06)
It's probably all genetical.	Tony Soprano	Down Neck (S01E07)
You're born to this shit. You are what you are.	Tony Soprano	Down Neck (S01E07)
I don't want him to be like me.	Tony Soprano	Down Neck (S01E07)
It's like just the fuckin' 'regularness' of life is too fuckin' hard for me.	Christopher Moltisanti	The Legend of Tennessee Moltisanti (S01E08)
I wipe my ass with your feelings.	Tony Soprano	The Legend of Tennessee Moltisanti (S01E08)
It happens.	Christopher Moltisanti	The Legend of Tennessee Moltisanti (S01E08)
It's a sign of weakness.	Junior Soprano	Boca (S01E09)
You stupid, fucking, blabbermouth cunt!	Junior Soprano	Boca (S01E09)
Wonder Bread wop. Eats his Sunday gravy out of a jar.	Tony Soprano	A Hit is a Hit (S01E10)
To be used, you know, for somebody else's amusement, like a fuckin' dancin' bear.	Tony Soprano	A Hit is a Hit (S01E10)
Nobody knows anything!	Tony Soprano	Nobody Knows Anything (S01E11)
Tony Soprano sees a shrink? You fuckin' believe that?	Junior Soprano	Nobody Knows Anything (S01E11)
Better Cakey had died than go on living like that.	Livia Soprano	Isabella (S01E12)
Why don't you get the fuck out of here before I shove your quotations book up your fat fucking ass!	Junior Soprano	Do Not Resuscitate (S02E02)
Toodle-fucking-oo?	Dr. Melfi	Toodle-Fucking-Oo (S02E03)
You wanna raise your hands, you give her your last name. Then it's none of my fucking business.	Tony Soprano	Toodle-Fucking-Oo (S02E03)
Some people are so far behind in the race that they actually believe they're leading.	Junior Soprano	The Happy Wanderer (S02E06)
The kind of man I admire is Gary Cooper, the strong, silent type.	Tony Soprano	The Happy Wanderer (S02E06)
Be a good Catholic for 15 fucking minutes!	Tony Soprano	D-Girl (S02E07)
You think I'm wearing a wire in God's house?	Big Pussy Bonpensiero	D-Girl (S02E07)
I'll build a ramp up to your ass, drive a Lionel up in there.	Richie Aprile	Full Leather Jacket (S02E08)
I don't think you understand. I want you to write that letter.	Carmela Soprano	Full Leather Jacket (S02E08)
Hell is hot. That's never been disputed by anybody.	Paulie Gualtieri	From Where to Eternity (S02E09)
I figure I'm gonna have to do about 6,000 years before I get accepted into heaven.	Paulie Gualtieri	From Where to Eternity (S02E09)
I crossed over to the other side. I saw the tunnel and the white light and I saw my father in hell.	Christopher Moltisanti	From Where to Eternity (S02E09)
She's changed, my ass. She's just too senile to remember who she hates.	Tony Soprano	Knight in White Satin Armor (S02E12)
Babies are like animals. They're no different than dogs.	Livia Soprano	Knight in White Satin Armor (S02E12)
Our true enemy has yet to reveal himself.	Tony Soprano	Funhouse (S02E13)
It's the life we chose, am I right, Pat?	Tony Soprano	Mr. Ruggerio's Neighborhood (S03E01)
Here's the thing. I'm glad she's dead.	Tony Soprano	Proshai, Livushka (S03E02)
Why the fuck should I be a good son to that fucking demented, old bat?	Tony Soprano	Proshai, Livushka (S03E02)
She was much work, but in the end, she defeated me.	Svetlana Kirilenko	Proshai, Livushka (S03E02)
May I burn in hell if I betray my friends.	Christopher Moltisanti	Fortunate Son (S03E03)
Gentlemen, what we do in life echoes in eternity.	Ralph Cifaretto	Employee of the Month (S03E04)
That employee-of-the-month cocksucker is back on the street, and who's gonna stop him, you?	Dr. Melfi	Employee of the Month (S03E04)
Another toothpick.	Junior Soprano	Another Toothpick (S03E05)
Maybe the fact that you stick your dick into anything with a pulse.	Carmela Soprano	Another Toothpick (S03E05)
I have come to reclaim Rome for my people.	Ralph Cifaretto	University (S03E06)
How many cocks you suck tonight?	Ralph Cifaretto	University (S03E06)
I'm a made guy!	Ralph Cifaretto	University (S03E06)
He is risen.	Aaron Arkaway	He is Risen (S03E08)
How can you trust a guy who can literally go fuck themselves?	Tony Soprano	The Telltale Moozadell (S03E09)
I loved that cocksucker like a brother and he fucked me in the ass.	Tony Soprano	To Save Us All from Satan's Power (S03E10)
That's the difference between Puss and the others. Him you loved.	Dr. Melfi	To Save Us All from Satan's Power (S03E10)
